Business Name,Address,City,State,Zip Code,PPP Lender,Total PPP Loan Amount,Total Forgiveness Amount,NAICS Code,Nearest Closing Branch,Nearest Branch Address,Distance to Closing Branch (mi)
"AQUA TOTS MANAGEMENT COMPANY, INC.",31221 W 14 MILE RD,FARMINGTON HILLS,MI,48334,Comerica Bank,189700.00,191262.27,611620,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.02
"AQUA TOTS FARMINGTON HILLS, LLC",31221 W 14 MILE RD,FARMINGTON HILLS,MI,48334,Comerica Bank,125300.00,126264.23,713940,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.02
"VIPIN GULATI, C.P.A., P.C.",28580 ORCHARD LAKE RD Suite 201,FARMINGTON HILLS,MI,48334,Comerica Bank,52600.00,53092.39,541211,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.02
N. PETER ANTONE P.C.,31555 W 14 Mile Rd,Farmington Hills,MI,48334,Comerica Bank,640700.00,647150.05,541110,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.03
CHANESS & MAHER P.C. CPAS,31555 W 14 Mile Rd Ste 111,Farmington Hills,MI,48334,Comerica Bank,63600.00,63859.70,541211,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.03
"GLENDALE NEUROLOGICAL ASSOCIATES, P.C.",28595 ORCHARD LAKE RD Ste 200,FARMINGTON HILLS,MI,48334,Comerica Bank,1741700.00,1753086.09,621111,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.05
"COMPREHENSIVE PSYCHIATRIC SERVICES, P.C.","28800 Orchard Lake Road, Ste 150",Farmington Hills,MI,48334,Comerica Bank,63300.00,64112.35,621330,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.05
NEW MANDARIN GARDEN INC,31539 w 13 mile,Farmington Hills,MI,48334,Comerica Bank,59000.00,59803.06,722511,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.26
"J AND L EDUCATIONAL SERVICES, INC",6201 West Maple Road,West Bloomfield,MI,48322,Comerica Bank,179400.00,180548.21,611699,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.29
"GREAT WALL BUSINESS SERVICES, INC.","31700 W. 13 Mile Rd, Ste 205",Farmington Hills,MI,48334,Comerica Bank,95300.00,96162.99,518210,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.3
SAM CASSAR COMPANY,31393 W. THIRTEEN MILE RD. STE 150,Farmington Hills,MI,48334,Comerica Bank,178300.00,179899.75,531110,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.37
RANCH KING ENTERPRISES INC,32300 Northwestern Hwy Ste 200,Farmington Hills,MI,48334,Comerica Bank,476100.00,482924.10,484121,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.38
"RUBENFAER AND ASSOCIATES, P.C.",32300 Northwestern Highway Suite 115,Farmington Hills,MI,48334,Comerica Bank,129000.00,130673.42,541211,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.38
"ABBEY PARK AT MILL RIVER,LLC",30057 ORCHARD LAKE RD Suite 100,FARMINGTON HILLS,MI,48334,Comerica Bank,215200.00,216628.69,623990,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.6
"ABBEY PARK, L.L.C.",30057 ORCHARD LAKE RD Suite 100,FARMINGTON HILLS,MI,48334,Comerica Bank,150700.00,152299.09,623990,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.6
GOLDMAN AND MILLER CARDIOLOGY P.C.,30335 W. 13 Mile Road Suite 103,Farmington Hills,MI,48334,Comerica Bank,171000.00,172410.75,621111,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.61
"BERBIGLIA ASSOCIATES, INC.",36400 W. 12 Mile Road,Farmington Hills,MI,48331,Comerica Bank,152500.00,154063.12,541330,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.61
CRYSTAL BRIGHT JANITORIAL SERVICES INC.,Pear Ridge,Farmington Hills,MI,48334,Comerica Bank,196300.00,198721.04,561720,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.65
"RESTAURANT LOGIC, LLC",30110 Orchard Lake Rd.,Farmington Hills,MI,48334,Comerica Bank,108200.00,109166.29,541511,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.65
THE ORIGINAL $2 SOFT CLOTH CAR WASH MANAGEMENT CO. L.L.C.,31876 Northwestern Hwy,Farmington Hills,MI,48334,Comerica Bank,339200.00,342153.87,811192,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.67
U-WASH TELEGRAPH INC.,31876 NORTH WESTERN HIGHWAY,FARMIMGTON HILLS,MI,48334,Comerica Bank,210200.00,211957.51,811192,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.67
U-WASH INC.- LIVONIA,31876 Northwestern Hwy,Farmington Hills,MI,48334,Comerica Bank,192000.00,193570.66,811192,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.67
U-WASH-PONTIAC INC.,31876 Northwestern Hwy,Farmington Hills,MI,48334,Comerica Bank,165200.00,166581.26,811192,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.67
U WASH PLYMOUTH INC,31876 Northwestern Hwy,Farmington  Hills,MI,48334,Comerica Bank,130600.00,131701.03,811192,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.67
"BETTER, CHEAPER, FASTER OIL CHANGE, INC.",31876 NORTHWESTERN HWY,FARMINGTON HILLS,MI,48334,Comerica Bank,104400.00,105249.70,811191,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.67
"BAHOURA BARRINGER, PLC",31800 NORTHWESTERN HWY Ste 210,FARMINGTON HILLS,MI,48334,Comerica Bank,159800.00,161012.23,541211,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.77
FALCON COMMODITIES,30150 WESTGATE RD,FARMINGTON HILLS,MI,48334,Comerica Bank,58300.00,58823.08,112910,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.78
K & B EXPEDITING INC,5744 Greenbriar Dr.,West Bloomfield,MI,48322,Comerica Bank,139900.00,141392.27,488490,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.86
"ASSOCIATES IN NEUROLOGY, P.C.",27555 Middlebelt Road,Farmington Hills,MI,48334,Comerica Bank,520800.00,526803.67,621111,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.87
"AMARNATH GOWDA, LL.B., J.D., P.C.","32871 Middlebelt Rd., Ste 100",Farmington Hills,MI,48334,Comerica Bank,253400.00,255894.79,541110,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.89
"SPOSITA, INC.",7340 muerdale,west bloomfield,MI,48322,Comerica Bank,105100.00,60434.64,624210,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.89
DIETZ SPORTS AND ENTERTAINMENT LLC,"31440 Northwestern Highway, Suite 320",Farmington Hills,MI,48334,Comerica Bank,59200.00,59795.29,713990,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",1.91
KIO INC.,6159 Haggerty Rd,West Bloomfield,MI,48322,Comerica Bank,216000.00,218550.00,722511,05144 Haggerty and Pontiac Trail BC,"4747 Haggerty Road, West Bloomfield, MI 48323",1.96
CONSOLIDATED FINANCIAL CORPORATION,29905 Middlebelt Rd,Farmington Hills,MI,48334,Comerica Bank,110000.00,110565.28,523930,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.96
PAUL ELKOW BUILDING COMPANY LLC,28701 Wintergreen,Farmington Hills,MI,48331,Comerica Bank,60100.00,60949.75,236115,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.99
